area,zone,name,address,phone,service,discription,latitude,longitude
0,0,伊豆海洋公園,静岡県伊東市富戸８４１−１,090-0000-0002,IOP,海中ポストがあり、そこからハガキを送ることもできる。大物が流れてくることも多く、2021年にはジンベイザメやザトウクジラの目撃情報もある。,34.88465046,139.1315588
0,0,富戸,静岡県伊東市 富戸987,090-0000-0003,いとう漁協富戸支所ダイビングサービス,浅めのビーチは講習にもってこいの潜りやすさ。ビーチもボートも魚影が濃く、人気のダイビングスポット。,34.90029807,139.1324739
0,1,大瀬崎,静岡県沼津市西浦江梨３３１,090-0000-0000,はまゆう,内湾から外海までポイントが多く全天候対応可。他のダイブサイトがダメでもここなら安全に講習ができることが多い。先端や外海は流れが強いこともあり上級者も楽しめる。,35.02445136,138.7866056
0,1,浮島,静岡県賀茂郡西伊豆町仁科３０２８−２,090-0000-0001,サンセットリゾート ダイブセンター,ウミウシの種類が豊富でかなりレアものも目撃されるウミウシ天国。ビーチは浅いので長い時間ゆっくり写真が撮れるのでカメラ派におすすめ。,34.79532323,138.7584658
0,2,神子元,静岡県下田市田牛,090-0000-0004,神子元ハンマーず,ハンマーヘッドシャークの群れで有名な南伊豆のダイブサイト。かなり上級者向けだが、レベルをあげて行く価値はある。,34.57932137,138.9413349
0,2,中木,静岡県賀茂郡南伊豆町中木４８−１,090-0000-0005,中木マリンセンター,伊豆半島最南端の伊豆国立公園に指定された美しい海で黒潮ダイビング。魚影が濃くダイナミックなダイビングが楽しめる。,34.61585458,138.824594
0,3,城ヶ島,神奈川県三浦市三崎町城ヶ島６６９−１,090-0000-0006,城ヶ島ダイビングサービス,東京湾と相模湾、黒潮の３つが織りなす生物天国。ウミウシの種類も多くマクロ派やカメラ派にもおすすめ。ボートでは海中クレバスやドロップオフなどダイナミックなダイビングも楽しめる。,35.13460937,139.6210162
0,3,石橋,神奈川県小田原市石橋５−４,090-0000-0007,石橋ダイビングサービス,初心者講習にもってこい！BBQもできる！,35.22520666,139.1417404
0,4,勝山,千葉県安房郡鋸南町勝山２３４,090-0000-0008,勝山ダイビングサービス,とにかくマクロ天国。東京湾の生物層の濃さを体感できる海。目撃されるウミウシの種類も多くカメラ派にもおすすめ。,35.11221036,139.8276146
0,4,波左間,千葉県館山市波左間１０１２,090-0000-0009,波佐間ダイビングサービス,頼子とマンボウ,34.97533827,139.7830155
